Column,Q32018,%,Q32017,%,FY2017,Column
Normal,"210,575",78%,"231,725",86%,"210,805",80%
Watch,"30,154",11%,"22,093",8%,"34,446",13%
Substandard,"13,747",5%,"11,050",4%,"9,934",4%
Doubtful,"15,020",6%,"3,557",1%,"8,273",3%
Loss,559,0.2%,556,0.2%,506,0%
TOTAL,"270,055",100%,"268,982",100%,"263,965",100%
