New standards or amendments,"Effective for annual period
beginning or after"
Definition of a Business (Amendments to IFRS 3),January 1 2020
"Interest Rate Benchmark Reform (Amendments to IFRS 9, IAS 39 and IFRS
7)",January 1 2020
Definition of Material (Amendments to IAS 1 and IAS 8),January 1 2020
Amendments to References to Conceptual Framework in IFRS Standards,January 1 2020
COVID-19-Related Rent Concessions (Amendments to IFRS 16),June 1 2020
