Notes,"2021
(KShs’000)","2020
(KShs’000)"
7,"30,828,477","26,348,136"
8,"8,535,973","16,915,263"
9,"107,837,175","63,718,146"
9,"395,933","398,342"
10,"199,765","75,549"
11,"20,535,078","18,686,728"
12(a),"310,195,297","286,634,192"
13,"77,529,736","98,901,544"
24(b),-,"666,502"
15,"2,146,675","1,967,532"
16(a),"2,534,335","2,825,101"
17,"33,302","33,912"
18(a),"6,389,748","7,939,594"
19(a),"3,956,444","4,362,015"
20,"5,411,716","4,309,763"
14,"3,294,000","3,294,000"
,"579,823,654","537,076,319"
21,"792,102","221,890"
22(a),"407,725,765","378,630,453"
23,"42,914,622","46,026,141"
24(b),"903,763",-
25,"173,866","116,825"
26,"26,515,933","19,901,662"
27,"406,465","424,941"
20,"51,669","131,071"
,"479,484,185","445,452,983"
28,"5,867,180","5,867,180"
29,"1,911,926","1,911,926"
30(a),"1,460,211","1,589,944"
30(b),"84,225,180","74,582,478"
30(c),"(81,009)","546,230"
30(d),"624,079","14,011"
30(e),"(58,768)","(78,019)"
31,"5,867,180","5,867,180"
,"99,815,979","90,300,930"
,"523,490","1,322,406"
,"100,339,469","91,623,336"
,"579,823,654","537,076,319"
