Eng. William Mayar Wol*,Chairman
Elijah Wamalwa,Managing Director & CEO
Prof. Mathew Gordon Udo*,
Hon. Benjamin Ayali Koyongwa*,"Chairman, Staff and Nominations Committee"
John K Murugu OGW,"Chairperson, Board Credit Committee"
"Macloud Malonza, MBS, HSC","Chairperson, Board Audit Committee"
"Dr. Gideon Muriuki, CBS, MBS",
Mr. Zachary K. Chianda,
