New standards or amendments,Effective date
"Sale or Contribution of Assets between an Investor and its Associate or Company
(Amendments to IFRS 10 and IAS 28)",To be determined
Amendments to IAS 1: Classification of Liabilities as Current or Non-current,1 January 2024
Amendments to IFRS 16: Lease Liability in a Sale and Leaseback,1 January 2024
Supplier Finance Arrangements - Amendments to IAS 7 and IFRS 7,1 January 2024
Lack of exchangeability – Amendments to IAS 21,1 January 2025
