GROUP,Column,KINGDOM BANK,Column,CO-OP BANK
"31-Mar-25
KSHS.’000
(Un-audited)","31-Dec-24 31-Mar-24
KSHS.’000 KSHS.’000
Audited (Un-audited)
8,663,289 1,592,947
18,322,559 4,461,272
353,474 31,734
916,640 281,367
2,721,037 630,838
1,008,242 267,164
14,704,242 2,598,910","31-Mar-25
KSHS.’000
(Un-audited)","31-Dec-24 31-Mar-24
KSHS.’000 KSHS.’000
Audited (Un-audited)
270,806 (22,130)
717,353 208,709
15,410 2,990
84,515 15,779
71,410 12,792
10,468 5,055
461,864 159,970","31-Mar-25
KSHS.’000
(Un-audited)"
"2,112,757",,"84,449",,"2,015,337"
"4,918,494",,"219,814",,"4,385,818"
"43,620",,"2,990",,"25,499"
"311,901",,"34,933",,"264,975"
"745,440",,"19,722",,"690,095"
"227,336",,"4,280",,"216,169"
"3,389,332",,"134,967",,"2,868,010"
"11,748,880","46,689,482 9,864,232","501,155","1,631,827 383,165","10,465,903"
"9,432,976","33,957,947 8,911,867
-
822,372 100,069","205,686","1,002,023 341,680
-
-","8,649,922"
-,,-,,-
"193,746",,-,,-
"9,626,722","34,780,319 9,011,936","205,686","1,002,023 341,680","8,649,922"
"2,789,205","9,876,192 2,484,702
(552,217) (52,822)","61,707","264,362 -
188,666 -","2,594,976"
"(93,247)",,-,,"(152,512)"
"6,930,764","25,456,345 6,580,056","143,979","548,995 341,680","6,207,457"
,"-
15,328,480 6,083,105
- -
2,032,282 -
- -",,"-
1,019,371 (65,571)
-
-
-",
-,,-,,-
"3,037,928",,"501,386",,"2,531,022"
-,,-,,-
-,,-,,-
-,,-,,-
"3,037,928","17,360,762 6,083,105","501,386","1,019,371 (65,571)","2,531,022"
"9,968,692","42,817,107 12,663,161","645,365","1,568,366 276,109","8,738,479"
,"4.33 1.12
4.33 1.12
1.50 -
31-Dec-24 31-Mar-24
KSHS.’000 KSHS.’000
Audited (Un-audited)
71,079,784 66,495,807
5,115,196 5,144,728
65,964,588 61,351,079
40,337,945 33,840,940
25,626,643 27,510,139
29,787,441 32,428,371",,"-
-
-
31-Dec-24 31-Mar-24
KSHS.’000 KSHS.’000
Audited (Un-audited)
2,977,825 3,436,195
478,671 518,276
2,499,154 2,917,919
867,401 1,282,514
1,631,753 1,635,405
1,545,554 1,578,779",
1.18,,-,,1.06
1.18,,-,,1.06
-,,-,,-
"31-Mar-25
KSHS.’000
(Un-audited)",,"31-Mar-25
KSHS.’000
(Un-audited)",,"31-Mar-25
KSHS.’000
(Un-audited)"
"74,074,915",,"3,421,165",,"69,575,538"
"5,022,701",,"496,993",,"4,432,557"
"69,052,214",,"2,924,172",,"65,142,981"
"42,545,712",,"1,189,108",,"41,095,923"
"26,506,503",,"1,735,064",,"24,047,059"
"27,620,876",,"1,511,303",,"25,199,095"
"(1,114,374)","(4,160,798) (4,918,232)
8,376,734 7,563,704
12,758,784 12,826,372","223,761","86,199 56,626
11,023 8,734
348,225 283,677","(1,152,036)"
"8,517,937",,"10,508",,"8,498,374"
"12,869,408",,"415,017",,"12,454,252"
"21,387,345","21,144,569 20,390,076
18,011,188 17,392,076
13,119,489 20,911,840
- -","425,525","359,248 292,411
634,737 458,408
- 437,835
-","20,952,626"
"15,269,649",,"782,721",,"14,107,738"
"12,426,124",,"397,950",,"12,028,174"
-,,-,,-
"27,695,774",,"1,180,671",,"26,135,912"
"126,250,553",,"4,115,305",,"117,740,382"
"1,000,000",,"1,000,000",,"1,000,000"
"125,250,553",,"3,115,305",,"116,740,382"
"18,601,687",,-,,"18,622,724"
"144,852,240",,"4,115,305",,"136,363,106"
"636,686,585",,"23,356,284",,"620,549,235"
23.7%,,16.3%,,23.5%
8.0%,,8.0%,,8.0%
15.7%,,8.3%,,15.5%
19.8%,,17.6%,,19.0%
10.5%,,10.5%,,10.5%
9.3%,,7.1%,,8.5%
22.8%,,17.6%,,22.0%
14.5%,,14.5%,,14.5%
8.3%,,3.1%,,7.5%
61.3%,,86.5%,,58.1%
20.0%,,20.0%,,20.0%
41.3%,,66.5%,,38.1%
