Kshs. Billions,Q12024,Q12023,YoY Change
Total Interest Income,19.4,15.6,24.7%
Total Interest Expenses,7.7,4.8,60.8%
Net Interest Income,11.7,10.8,8.6%
Fees and commissions on loans and advances,2.9,3.4,-14.7%
Other Fees and commissions,2.6,2.5,2.7%
Foreign exchange trading income,1.4,1.1,30.8%
Other income,0.2,0.1,54.4%
Total Operating Income,18.8,17.9,5.1%
Loan loss provision,1.6,1.5,3.9%
Staff costs,4.5,4.0,12.6%
Other operating expenses,2.6,3.2,-18.8%
Total Operating expenses,9.9,9.8,0.5%
Profit before tax and exceptional items,8.9,8.1,10.6%
Exceptional items-Share of profit of associate,0.10,0.09,7.5%
Profit Before Tax,9.0,8.1,10.6%
Income tax,2.4,2.0,19.3%
Profit After Tax,6.6,6.1,7.7%
