Group,Column,Bank,Column
2023,2022,2023,2022
KShs‘000,KShs‘000,KShs‘000,KShs‘000
"79,945,345","46,837,749","79,945,345","46,837,749"
"107,590,357","103,468,489","97,692,213","96,840,803"
"127,561,393","126,412,537","126,222,456","125,421,013"
"24,447,352","22,763,493","23,832,959","22,381,245"
"108,817,790","121,470,823","101,575,514","115,857,467"
"3,279,811","2,849,577","3,279,811","2,849,577"
"451,642,048","423,802,668","432,548,298","410,187,854"
"26,968,358","32,157,603","26,678,537","31,793,037"
"15,905,837","9,706,827","15,905,837","9,706,827"
"17,863,549","18,939,272","17,863,549","18,939,271"
"60,737,744","60,803,702","60,447,923","60,439,135"
"212,099,213","221,817,559","198,722,713","215,431,748"
"86,066,310","37,602,221","86,066,310","37,602,221"
"92,738,781","103,579,186","87,311,352","96,714,750"
"390,904,304","362,998,966","372,100,375","349,748,719"
"451,642,048","423,802,668","432,548,298","410,187,854"
