Cooperative Bank of South Sudan,Column,Column,Column
,Full BOD,Audit,Risk & Finance
Schedule of meetings:,,,
ENG. William W. Mayar-Chairman,4,,1
"John K. Murugu, OGW",4,2,
"Macloud Malonza,HSC",4,,1
"Dr. G. Muriuki, MBS,CBS – Group Managing Director & CEO",4,2,1
Elijah Wamalwa-Managing Director,4,2,1
Prof. Mathew Gordon Udo,4,2,
Rosemary M. Githaiga(Mrs.),4,,
