Group,Column,Column,Bank,Column,Column
"Within
12 months","After
12 months",Total,"Within
12 months","After
12 months",Total
KShs‘000,KShs‘000,KShs‘000,KShs‘000,KShs‘000,KShs‘000
"28,106,288",-,"28,106,288","24,307,459",-,"24,307,459"
"9,983,779",-,"9,983,779","6,836,863",-,"6,836,863"
"13,330,788","161,821,982","175,152,770","13,330,788","137,580,275","150,911,063"
"54,792,565","284,597,474","339,390,039","50,316,132","281,006,906","331,323,038"
-,"330,854","330,854",-,"326,217","326,217"
-,"6,044,575","6,044,575",-,"5,643,960","5,643,960"
-,"32,693","32,693",-,"32,693","32,693"
"1,414,061","28,717,574","30,131,635",-,"27,424,048","27,424,048"
-,-,-,-,"3,884,925","3,884,925"
-,"2,483,303","2,483,303",-,"706,444","706,444"
-,"6,795,404","6,795,404",-,"5,522,238","5,522,238"
-,"2,630,328","2,630,328",-,"2,417,209","2,417,209"
-,"2,615,326","2,615,326",-,"2,539,611","2,539,611"
-,"3,294,000","3,294,000",-,-,-
"107,627,481","499,363,513","606,990,994","94,791,242","467,084,526","561,875,768"
"392,691,907","31,110,761","423,802,668","384,022,355","26,165,499","410,187,854"
"1,087,501",-,"1,087,501","981,637",-,"981,637"
-,"276,702","276,702",-,"271,581","271,581"
"25,981,592",-,"25,981,592","24,496,596",-,"24,496,596"
-,"387,989","387,989",-,"387,989","387,989"
"4,658,485","43,443,587","48,102,072","4,528,333","20,356,131","24,884,464"
"424,419,485","75,219,039","499,638,524","414,028,921","47,181,200","461,210,121"
"(316,792,004)","424,144,474","107,352,470","(319,237,679)","419,903,326","100,665,647"
