Column,FY2022,FY2021,YoY Change
Total Assets,607.2,579.8,4.7%
Net Loan book,339.4,310.2,9.4%
Government Securities,173.3,184.1,-5.9%
Total Deposits,424.9,408.5,4.0%
Borrowed Funds,48.1,42.9,12.1%
Shareholder's Funds,107.7,100.2,7.4%
