"Land and
Buildings","Motor
Vehicles",Total
KShs’000,KShs’000,KShs’000
"5,624,694","170,323","5,795,017"
"409,146","37,950","447,096"
-,-,-
-,-,-
"6,033,840","208,273","6,242,113"
"1,112,983","7,111","1,120,094"
"1,146,975","49,806","1,196,781"
-,-,-
-,-,-
"2,259,958","56,917","2,316,875"
"3,773,882","151,356","3,925,238"
"5,624,694","170,323","5,795,017"
-,-,-
-,-,-
"5,624,694","170,323","5,795,017"
-,-,-
"1,113,083","7,111","1,120,094"
-,-,-
-,-,-
"1,113,083","7,111","1,120,094"
"4,511,611","163,212","4,674,823"
