"9,525,208",Column,"52,099",Column,Column,"25,000",Column,Column,"155,398",Column,Column,"9,757,705",Column,Column
"372,250",,-,,,-,,,"142,947",,,"515,197",,
"47,205",,-,,,-,,,"(47,205)",,,-,,
"(1,659)",,-,,,-,,,-,,,"(1,659)",,
"(19,941)",,"(40,435)",,,-,,,(573),,,"(60,949)",,
"9,923,063",,"11,664",,,"25,000",,,"250,567",,,"10,210,294",,
"7,032,196",,"52,099",,,-,,,-,,,"7,084,295",,
"960,578",,-,,,-,,,-,,,"960,578",,
"(12,633)",,"(40,435)",,,-,,,-,,,"(53,068)",,
"7,980,141",,"11,664",,,-,,,-,,,"7,991,805",,
"1,942,922",,-,,,"25,000",,,"250,567",,,"2,218,489",,
"7,965,342",,"63,453",,,"25,000",,,"716,",,822,"8,","770,61",7
"520,428",,-,,,-,,,"616,",,510,"1,","136,93",8
"1,083,579",,-,,,-,,,"(1,083,",,579),,,-
"(18,523)",,-,,,-,,,"(92,",,269),(1,"10,79",2)
"(25,617)",,"(11,354)",,,-,,,,"(2,",086),,"(39,05",7)
"9,525,209",,"52,099",,,"25,000",,,,"155,",398,"9,","757,70",6
"6,091,838",,"63,453",,,,,-,,,-,"6,","155,29",1
"978,123",,-,,,,,-,,,-,,"978,12",3
"(11,149)",,-,,,,-,,,,-,,"(11,14",9)
"(23,909)",,"(11,354)",,,,-,,,,-,,"(35,26",3)
"7,034,903",,"52,099",,,,,-,,,-,"7,","087,00",2
"2,490,306",,,-,,,"25,00",0,,"155,",398,"2,","670,70",4
,"s Limite
busines
e Gove
and co
project",,"d to par
s arran
rnment
-operati
s not ye","ticipate
gemen
of Sou
ve mo
t comm",,"in trad
t with t
th Suda
vement
issione","ing at N
he Gov
n, the B
.
d for u",,"airobi S
ernmen
ank ac
se by th","ecuritie
t of So
quired
e grou","s Excha
uth Sud
certain
p.","nge (NS
an for t
rights t",
