Column,2023,2022,2023,2022
Note,KShs‘000,KShs‘000,KShs‘000,KShs‘000
,"32,363,848","29,427,223","29,616,457","26,871,742"
19,"1,315,595","1,220,009","1,222,171","1,110,118"
20,"1,461,825","1,165,304","1,362,454","1,076,408"
19,–,"(16,933)",–,(180)
18,610,610,610,610
17,"99,643",–,"110,792",–
,"4,801,324","4,422,479","5,727,066","5,195,704"
26,"7,677","102,836","3,106","97,964"
,"(645,345)","712,828","(260,167)","(698,134)"
,–,–,–,–
17,"(978,123)","805,223","955,761","770,641"
28,"(18,475)","(18,476)","(18,475)","(18,476)"
,"(2,504)","(1,288)","(1,905)",–
16,"(345,725)","(416,141)",–,–
20(ii),"377,494","200,154","339,308","182,839"
24,"4,040,861","2,657,117","4,408,784","2,090,286"
24,"361,305","139,674","314,611","139,674"
,–,"116,090",–,–
,"42,840,010","40,516,709","43,780,573","36,819,196"
,"(39,638,706)","(33,617,221)","(34,791,414)","(31,934,303)"
,"8,712,855","(9,115,451)","6,559,354","(7,981,326)"
,"27,839,380","16,076,903","22,360,444","11,501,561"
,"3,369,777","295,399","4,770,446","227,065"
,"6,632,080","307,279","4,527,583","1,193,236"
,"(1,341,383)","(804,754)","(1,140,925)","(343,931)"
,"1,098,138","(705,994)","(1,463,482)","(5,615,559)"
,"1,602,828","(6,960)","1,602,828","(6,960)"
,"51,114,979","12,945,910","46,205,407","3,858,979"
,"10,372,273","9,011,686","8,709,925","7,802,190"
,"22,150,738","19,129,408","19,305,088","16,505,270"
,"27,316,305","9,987,563","21,731,801","6,834,566"
,"(650,637)","325,425","650,502","325,425"
,"59,188,679","38,454,082","50,397,316","31,467,450"
,"(19,129,464)","(17,788,081)","(18,197,025)","(17,056,100)"
,"40,059,215","20,666,001","32,200,291","14,411,350"
