GROUP,"31-Dec-23
KSHS.’000
Audited
32,018,124
-
345,725",KINGDOM BANK,"31-Dec-23
KSHS.’000
Audited
1,063,532",CO-OP BANK
"31-Dec-24
KSHS.’000
Audited",,"31-Dec-24
KSHS.’000
Audited",,"31-Dec-24
KSHS.’000
Audited"
"33,957,947",,"1,002,023",,"31,303,207"
,,,,-
"822,372",,,,-
"34,780,319","32,363,849","1,002,023","1,063,532","31,303,207"
"9,876,192","9,367,564
(192,081)","264,362","185,981
222,392","8,974,080"
"(552,217)",,"188,666",,"(658,967)"
"25,456,345","23,188,367","548,995","655,159","22,988,094"
,"(8,361,591)
-
-
-",,"(996,073)",
,,,,-
"15,328,480",,"1,019,371",,"14,249,582"
-,,,,-
"2,032,282",,,,-
-,,,,-
"17,360,762","(8,361,591)","1,019,371","(996,073)","14,249,582"
"42,817,107","14,826,776","1,568,366","(340,914)","37,237,676"
,"3.92
3.92
1.50
31-Dec-23
KSHS.'000
Audited
66,942,745
5,161,035
61,781,710
33,104,524
28,677,186
32,297,222",,"31-Dec-23
KSHS.'000
Audited
3,209,562
540,428
2,669,134
1,231,386
1,437,748
1,365,103",
4.33,,,,3.92
4.33,,,,3.92
1.50,,,,1.50
31-Dec-24,,31-Dec-24,,31-Dec-24
KSHS.'000,,KSHS.'000,,KSHS.'000
Audited,,Audited,,Audited
"71,079,784",,"2,977,825",,"66,952,396"
"5,115,196",,"478,671",,"4,556,851"
"65,964,588",,"2,499,154",,"62,395,545"
"40,337,945",,"867,401",,"39,136,283"
"25,626,643",,"1,631,753",,"23,259,262"
"29,787,441",,"1,545,554",,"24,821,749"
"(4,160,798)","(3,620,035)","86,199","72,645","(1,562,487)"
,"6,799,691
12,807,278",,"9,076
267,683",
"8,376,734",,"11,023",,"8,365,711"
"12,758,784",,"348,225",,"12,410,537"
"21,144,569","19,606,969","359,248","276,759","20,776,248"
,"21,018,871
12,873,967
-",,"461,879
697,835",
"18,011,188",,"634,737",,"17,221,340"
"13,119,489",,-,,"13,119,489"
-,,,,-
"31,130,677","33,892,838","634,737","1,159,714","30,340,830"
"122,825,895",,"4,007,745",,"114,793,785"
"1,000,000",,"1,000,000",,"1,000,000"
"121,825,895",,"3,007,745",,"113,793,785"
"19,148,039",,-,,"19,104,282"
"141,973,934",,"4,007,745",,"133,898,067"
"670,824,019",,"21,009,574",,"639,757,936"
24.2%,,18.5%,,23.8%
8.0%,,8.0%,,8.0%
16.2%,,10.5%,,15.8%
18.3%,,19.1%,,17.9%
10.5%,,10.5%,,10.5%
7.8%,,8.6%,,7.4%
21.2%,,19.1%,,20.9%
14.5%,,14.5%,,14.5%
6.7%,,4.6%,,6.4%
59.9%,,91.7%,,56.1%
20.0%,,20.0%,,20.0%
39.9%,,71.7%,,36.1%
