"Freehold
land &
buildings","Capital work-
in progress",Fixtures,"Office
machinery,
furniture &
equipment","Motor
vehicles",Computers,Total
KShs’000,KShs’000,KShs’000,KShs’000,KShs’000,KShs’000,KShs’000
"2,348,700","250,808","8,978,044","1,453,351","73,181","7,859,709","20,963,793"
-,"47,986","286,922","36,312",-,"217,763","588,983"
-,-,"(4,025)","(18,337)",-,"(26,930)","(49,292)"
-,"(266,469)","149,275","1,892",-,"115,302",-
-,"94,601",-,-,-,-,"94,601"
-,-,"12,784","(12,784)",-,-,-
"2,348,700","126,926","9,423,000","1,460,434","73,181","8,165,844","21,598,085"
"103,791",-,"7,746,060","1,273,207","41,599","6,221,511","15,386,168"
"103,791",-,"400,920","64,690","14,635","578,752","1,162,788"
-,-,(138),"(18,336)",-,"(26,905)","(45,379)"
-,-,"11,822","(11,822)",-,-,-
"207,582",-,"8,158,664","1,307,739","56,234","6,773,358","16,503,577"
"2,141,118","126,926","1,264,336","152,695","16,947","1,392,486","5,094,508"
