Column,FY 2016,%,FY2015,%
Normal,"196,708",80.5%,"192,513",87.5%
Watch,"36,475",14.9%,"19,352",8.8%
Substandard,"5,828",2.4%,"3,305",1.5%
Doubtful,"4,770",1.9%,"4,188",1.9%
Loss,675,0.3%,696,0.3%
TOTAL,"244,456",100.0%,"220,055",100.0%
