Column,Q3 - 2015,Q3 - 2014,FY - 2014
Cost to Income(Excluding Provisions),49.0%,58.2%,59.0%
Cost to Income (Including Provisions),54.8%,61.4%,62.6%
Cost of funds,4.13%,3.45%,3.38%
Staff Cost to Total Income,21.6%,26.4%,26.3%
Debt to Equity,39.6%,44.0%,42.2%
Average Return on Equity,25.2%,22.0%,20%
Average Return on assets,3.8%,3.4%,3.1%
FX to Non Funded income,18.8%,12.9%,13.1%
Non - Funded to Total Income,34.7%,36.0%,33.7%
Net Interest Margin,9.0%,9.5%,10.1%
Effective Corporate Tax Rate,30%,30%,30%
