Team,Material Matters,Risks,Opportunities,Our Response
"Strategic Focus:
To be the
employer of
choice","• Demand for
specialized skill
set in some areas
• Staff retention
• Staff training
• Staff productivity","• Competition for
skill especially
with the increase
in industry
players","Increased staff
productivity due to
• Proper training
and retention
strategies
• KPI based
performance
management
and reward
system","• Performance Rigor &
Rhythms
• High Performing Teams
(HPT) Culture & Manager
enablement
• Performance-linked
Rewards & Recognition
• Talent Acquisition –
deepening capabilities
• Workforce stabilization"
Enterprise,,,,
"Strategic Focus:
To ensure that
our internal
capabilities
enable optimum
value creation","• Interest rate
capping
• Growth of
income
• Efficiency
• Enhanced
regulatory &
compliance
environment
• Digital disruption
• Fintech
competition
• Electoral
and political
environment","• Interest rate
capping may
affect the
margins
• Rapid
technological
changes are
costly
• Increased
competition by
Fintechs, telcos
• Effect of
electoral
environment
on the macro
economic
elements","• More innovative
products
• Lower costs due
to efficiency
• Better
regulatory/
compliance
stakeholder
engagement","• Transformation project led
initiatives around;
• Branch Transformation &
Channel migration
• Enhanced Sales Force
Effectiveness (SFE)
• Shared Services &
Digitization
• Staff productivity
• Enhanced Credit
management framework
• Reporting & Analytics
• Micro, Small and Medium
Enterprises (MSME)
Transformation
• Digital Bank initiatives"
Community,,,,
"Strategic Focus:
To ensure that
the group
operates as a
responsible
corporate citizen","Economical, social
and environmental
concerns;
• Economic value
adding solutions
• Socially
responsible
citizenry
• Positive
environmental
impact","• Tough economic
environment
may lead to
reduced margins","• Partnerships
gained in the
process will lead
to long term
value creation","• Capacity building of the
Co-operatives
• Co-op foundation support
to bright and needy
students
• Products and services
available to all
• Recycle, reuse, reduce
model
• Green lending
• We pay taxes"
