NAME,No. of shares,%
Co-op Holdings Co-operative Society Limited,"2,705,511,000",64.56
Dr. Gideon Maina Muriuki,"87,728,700",2.09
Kenya Commercial Bank Nominees Limited A/C 771A,"26,539,800",0.63
NIC Custodial Services A/C 077,"22,290,760",0.53
Standard Chartered Nominees Non-Resident Ac 9057,"22,259,200",0.53
Standard Chartered Nominees A/C 9389,"17,548,220",0.42
Standard Chartered Nominees A/C 9230,"16,579,260",0.40
CFC Stanbic Nominees Ltd A/C Nr1030682,"16,441,224",0.39
CFC Stanbic Nominees Ltd A/C R57601,"15,000,080",0.36
Co-operative Bank Co-operative Savings & Credit Society Ltd,"13,946,000",0.33
TOTAL,"2,943,844,244",70.24
