Category,No. of shareholders,No. of Shares,%
Kenyan Individual Investors,"112,774","939,112,300",26.9
Kenyan Institutional Investors,"3,196","2,552,051,600",73.1
East African Individual Investors,27,"275,300",0.0
East African Institutional Investors,4,"6,000",0.0
Foreign Individual Investors,66,"921,700",0.0
Foreign Institutional Investors,1,"3,000",0.0
Total,"116,068","3,492,369,900",100.0
