Column,Q1 - 2015,Q1 - 2014,FY - 2014
Cost to Income,49.4%,55.6%,62.6%
Cost of funds,3.7%,3.7%,3.4%
Average Return on Equity,29%,28%,20%
Average Return on assets,3.4%,3.2%,3.10%
FX to Non Funded income,16%,16.8%,13.1%
Non - Funded to Total Income,33%,35.6%,34%
Net Interest Margin,10.2%,10.4%,10.1%
Effective Corporate Tax Rate,30%,30%,30%
