Richard L. Kimanthi,1.51,1.13,3.35,6.92,-,Column,Column,-,Column,-,Column,12.91,Column,9.,65
,,,,,,,,,,,-,12.57,9.,,
Godfrey Mburia,1.51,1.05,3.64,6.92,-,,,-,,,-,13.12,,9.,71
,,,,,,,,,,,-,12.61,9.,,
James N. Njiru,2.15,1.55,3.26,6.92,-,,,-,,,-,13.88,,10.,03
,,,,,,,,,,,-,13.40,9.,,
Francis Ngone,2.15,1.25,2.99,6.92,-,,,-,,,-,13.31,,9.,78
,,,,,,,,,,,-,13.43,9.,,
Michael M. Muthigani,2.15,1.30,2.78,6.92,-,,,-,,,-,13.15,,9.,63
,,,,,,,,,-,,-,12.62,9.,,
Charles Kamari,-,-,0.40,6.92,-,,,,-,,-,7.32,,1.,73
,,,,,,,,,- 1,,66.26,172.46,154.,,
,,,,,,,6.06 16,,,,6.26,473.43,369.,,
,,,,,,e and,professional indemnit,,,,y cover.,,9,,
