Column,Q3-2015,%,Q3-2014,%,FY - 2014,Column
Normal,"196,314",90.3%,"163,781",90.8%,"166,821",89.4%
Watch,"12,248",5.6%,"8,630",4.8%,"11,818",6.3%
Substandard,"3,567",1.6%,"2,921",1.6%,"3,382",1.8%
Doubtful,"4,436",2.0%,"3,894",2.2%,"3,837",2.1%
Loss,740,0.3%,"1,060",0.6%,763,0.4%
TOTAL,"217,306",100.0%,"180,287",100.0%,"186,622",100%
