Column,What we do,What we offer
,"Providing financial solutions to individual
customers, Micro, Small and Medium Enterprises","Deposit/ Instant Access accounts
Savings Accounts
Current accounts
Fixed/Call deposit accounts
Forex products
Payment solutions
M-Wallet loans
Trade Finance
MSME Loans
Personal/Consumer Loans
Working Capital Loans
Asset Finance
Insurance Premium Financing
Mortgage Finance
Investment services
Banc Assurance
Consultancy and capacity
building
Stock Brokerage"
• Corporate & Institutional Banking Division,"Providing financial solutions to;
• Corporates
• Institutions
• Government
• Parastatals
• Non- Governmental Institutions
• International Financial Institutions",
• Co-operatives Banking,"Providing financial solutions to;
• Large Saccos
• Housing Saccos
• Agricultural and other Co-operatives
• PSV/ Transport Saccos
• Investment Saccos
• Housing Saccos",
• Co-opTrust Investment Services Ltd,Providing Fund Management Services,
• Consultancy and capacity building,"• Providing Banc Assurance Services
• Providing Consultancy and capacity building
services to Co-operative Societies",
• Kingdom Securities Ltd,Providing Stock Brokerage Services,
