Notes,"2023
KShs‘000","2022
KShs‘000"
,"23,188,365","22,038,167"
43,"(8,361,591)","(8,605,319)"
,–,"188,981"
,–,"(177,981)"
16,–,"1,027"
,"(8,361,591)","(8,593,292)"
,"(8,361,591)","(8,593,292)"
,"14,826,774","13,444,875"
,"14,763,503","13,326,511"
,"63,271","118,364"
,"14,826,774","13,444,875"
