"113,023,138","276,737,476",-,Column,"389,760,614",Column,Column,Column
-,-,"282,766,774",,,"282,766,77",,4
"113,023,138","276,737,476","282,766,774",,,672,",527,38",8
"158,067,187","272,943,884",-,,,431,",011,07",1
-,-,"241,516,317",,,241,",516,31",7
"158,067,187","272,943,884","241,51","6,317",,672,",527,38",8
