Column,Q12017,Q12016,FY2016
Core Capital / Total Deposits (10.5%),19.8%,17.5%,19.7%
Core Capital / Total Risk weighted Assets (10.5%),17.0%,15.4%,16.1%
Total Capital / Total Risk Weighted Asset (14.5%),24.8%,21.7%,22.7%
Coverage (Loan loss prov+int in sus /Gross NPL) -IFRS,34.3%,42.5%,38.1%
Coverage(Loss loan+int in sus+gen prov)/Gross NPL- CBK,67.5%,76.6%,65.4%
Liquidity (20%),37.6%,38.5%,33.2%
NPL / Total Loans,4.2%,3.4%,4.3%
Loans to Deposits,87.3%,79.9%,89.9%
Loans to Deposits & Borrowed Fund,80.4%,74.4%,83.6%
