Column,"Q3 2025
KShs ‘000","Q3 2024
KShs ‘000","Growth
KShs ‘000","Growth
%"
Co-operative Bank of Kenya Ltd,"26,953,694","24,475,227","2,478,466",10.1%
Co-operative Bank of South Sudan Ltd,"93,509","33,796","59,713",176.7%
Co-optrust Investment Services Ltd,"624,735","254,898","369,836",145.1%
Co-op Bancassurance Intermediary Ltd,"1,151,785","824,297","327,488",39.7%
Kingdom Securities Ltd,"89,865","45,120","44,745",99.2%
Kingdom Bank Ltd,"820,161","929,175","(109,014)",-11.7%
Co-op Bank and Subsidiaries Total,"29,733,749","26,562,513","3,171,235",11.9%
Associates share of profit,"292,083","221,996","70,088",31.6%
Group Profit Before Tax,"30,025,832","26,784,509","3,241,323",12.1%
Income Tax Expense,"8,461,110","7,576,944","884,166",11.7%
Group Profit After Tax,"21,564,722","19,207,565","2,357,157",12.3%
