Column,Q22021,Q22020,YoY % Change
Total Interest Income,26.0,21.8,19.0%
Total Interest Expenses,7.1,5.9,20.9%
NET INTEREST INCOME,18.8,15.9,18.3%
Fees and commissions on loans and advances,8.0,6.8,17.8%
Forex trading income,1.32,1.31,1.4%
Other income,1.0,0.2,336.8%
TOTAL OPERATING INCOME,29.2,24.2,20.4%
Loan loss provision,4.2,1.9,123.0%
Staff costs,6.5,6.6,-1.3%
Other Operating expenses,8.0,6.1,31.4%
Profit before tax and exceptional items,10.5,9.7,8.4%
Exceptional items-Share of profit of associate,0.06,-0.05,220.5%
Profit before tax,10.5,9.6,9.6%
Income tax,3.2,2.4,31.5%
Profit after tax and exceptional items,7.4,7.2,2.3%
Basic Earnings per share,2.51,2.45,2.3%
