Column,Q12024,Q12023,Growth,Growth
,KShs '000',KShs '000',KShs '000',%
Co-operative Bank of Kenya Ltd,"8,038,686","7,478,370","560,315",7.5%
Co-operative Bank of South Sudan,"128,461","(71,346)","199,807",280.1%
Co-opTrust Investment Services Ltd,"75,509","51,145","24,365",47.6%
Co-op Bancassurance Intermediary Ltd,"304,971","336,401","(31,430)",-9.3%
Kingdom Securities Ltd,"13,947",(20),"13,967",69056.3%
Kingdom Bank Ltd,"350,294","261,520","88,774",33.9%
Co-op Bank and Subsidiaries Total,"8,911,868","8,056,070","855,799",10.6%
Associates share of profit,"100,069","93,082","6,987",7.5%
Group Profit before Tax,"9,011,938","8,149,152","862,785",10.6%
Income Tax Expense,"2,431,880","2,038,396","393,484",19.3%
Group Profit after Tax,"6,580,056","6,110,756","469,300",7.7%
