Column,Q22018,Q22017,FY2017
"Provision for specific Bad & Doubtful Debts plus
interest in Suspense","8,761.55","4,991.86","7,024.31"
General Provision for B & D debts,"6,840.60","3,639.54","3,166.83"
Total,"15,602.15","8,631.4","10,191.14"
