KES Billions,"Dec 31, 12","Dec 31, 11",(%) Change
Total Assets,200.8,168.3,19%
Loan Book (net),119.1,109.4,9%
"Government
Securities",33.4,22.2,50%
Total Deposits,162.3,142.6,14%
"Customer
Base",3.2 M,2.3 M,39%
Branch Network,114,94,21%
