MILESTONE,POSITION,ACHIEVED OUTCOMES
Start,1,"All security guards in branches have been trained to recognize customers with disabilities and
enforce queueing policies"
Milestone 1,2,Standardized provision of ATM/Debit cards to all customers including those with visual impairments
Milestone 2,3,PWDs incorporated in product design for digital services
Milestone 3,4,"USSD: Full review of the user journey for all functions of the USSD banking channel to ensure ease
of use for PWDs as per recommendations of the study"
Milestone 4,5,"Mobile: Full review of the user journey for all functions of the mobile banking channel to ensure
ease of use for PWDs as per recommendations of the study"
Milestone 5,6,Staff trained on basic sign language to assist PWDs during in-person banking
Milestone 6,7,"Bank website, written and electronic banking documents reviewed and updated appropriately to
ensure accessibility by all customers including PWDs"
Milestone 7,8,"All branches and ATMs to have ramps and lowered counters and dedicated staff to ease banking
access for PWDs"
Project End,9,Full ease of accessibility achieved across all banking channels for PWDs
