"REAL GDP GROWTH RATE, %",Column,Column
,2022,2023
Agriculture,-0.3,5.6
Industry,4.7,4.4
Manufacturing,3.3,3.4
Electricity & Water Supply,4.4,5.9
Construction,5.5,5.6
Services,7.6,6.7
Wholesale & Retail Trade,8.6,7.1
Accommodation & Food Services,30.7,11.4
Transport & Storage,6.4,6.8
Information & Comm,6.6,7.9
Financial Services,9.4,5.6
Real Estate,5.6,5.5
Education,6.6,8.5
Health,4.8,5.2
Real GDP Growth,5.6,6.1
