Column,H12024,H12023,Growth,Growth
,KShs '000',KShs '000',KShs '000',%
Co-operative Bank of Kenya Ltd,"16,704,469","15,125,220","1,579,249",10.44%
Co-operative Bank of South Sudan,"(252,362)","(36,495)","(215,867)",(591.51%)
Co-opTrust Investment Services Ltd,"142,727","106,773","35,955",33.67%
Co-op Bancassurance Intermediary Ltd,"682,659","591,273","91,386",15.46%
Kingdom Securities Ltd,"35,620","7,765","27,855",358.71%
Kingdom Bank Ltd,"650,470","525,199","125,271",23.85%
Co-op Bank and Subsidiaries Total,"17,963,584","16,319,735","1,643,849",10.07%
Associates share of profit,"197,412","87,392","110,020",125.89%
Group Profit before Tax,"18,160,996","16,407,127","1,753,869",10.69%
Income Tax Expense,"5,170,359","4,266,281","904,078",21.19%
Group Profit after Tax,"12,990,634","12,140,845","849,789",7.00%
