DEVELOPMENT PARTNER,FY2017,FY2016,PURPOSE
IFAD,30,30,"To finance the Eastern Province Horticultural
and Traditional Food crops project"
EUROPEAN INVESTMENT BANK,"1,087","2,171",To fund SMEs
AFD,"3,591","4,022","To fund energy efficient and renewable energy
projects"
"INTERNATIONAL FINANCE
CORPORATION(IFC)","13,092","9,037","To fund SME’s and agribusiness, construction
and mortgage segments"
D.E.G -(K.F.W),"3,316","4,368",To finance SME and Corporate customers
TOTAL,"21,115","19,629",
