Column,"31-Mar-09
KSHS
(Mlns)","31-Mar-08
KSHS
(Mlns)",% Change
Total Assets,"89,727,379","68,298,832",31%
Loan Book,"55,475,776","38,730,572",43%
Total Deposits,"71,858,454","53,970,770",33%
Total Income,"2,553,091","2,151,271",19%
Total expenses,"1,514,384","1,346,049",13%
Profit before Tax,"1,038,707","805,222",29%
Shareholders Funds,"14,734,100","7,021,861",110%
Earnings Per Share,0.89,0.65,37%
Price Earnings Ratio,7.11,N/A,-
