Column,"Actual
Q1 2017","Projections
FY 2017"
Profit Before Tax Growth,-8.7%,17.7B
Loans & Advances Growth,15.0%,12%
Deposits Growth,5.3%,12%
Cost to Income Ratio,47.9%,50%
Non Funded to Total Income,33.6%,34%
Return On Average Equity (ROAE),21.7%,20%
Return On Average Assets (ROAA),3.5%,3.5%
Non Performing Loans (NPL),4.2%,4.5%
Cost of funds,3.8%,4.0%
Net Interest Margin (NIM),9.5%,9.5%
Cost of risk,1.3%,1.3%
