Director,Co-operative Bank Group,Column,Column,Board Sub-committees,Column,Column
Schedule of meetings:,"Co-operati
Bank","ve Co-op
Consultancy","Co-optrust
Investment
Services","Audit
Committee","Staff and
Nomination
Committee","Risk and
Finance
Committee"
"S. C. Muchiri, EBS
Group Chairman",5,5,5,-,2,3
J. Riungu - Vice Chairman,5,-,-,4,2,-
"G. M. Muriuki, OGW
Group Managing Director",5,5,5,-,2,3
J. Sitienei,5,-,-,-,2,-
"F. Odhiambo
Commissioner
of Co-operatives",5,-,-,-,2,-
P. K. Githendu,-,5,5,-,-,-
G. Mburia,-,5,5,-,-,-
R. L. Kimanthi,5,-,-,-,-,3
E.K. Mbogo,-,5,5,-,-,-
"G.J.S. Wakasyaka,
(Rtd Major)",5,-,-,-,2,-
M. Malonza,5,-,-,-,-,3
S. Odhiambo (Mrs),-,5,5,-,-,-
Dr. J. Kahunyo,-,5,5,-,-,-
C. Kabira,-,5,5,-,-,-
W. Ongoro,5,-,-,-,-,3
D. Kibera,5,-,-,-,-,3
"J. Murugu
Representing PS
Ministry of Finance",5,-,-,4,-,-
R. Simani,5,-,-,4,-,-
