Kshs. Billions (except for EPS),Q32017,Q32016,% Change (Y/Y),FY2016
Interest Income,29.9,32.3,-7.7%,42.3
Interest Expense,9.1,9.9,-8.5%,12.8
Net Interest Income,20.8,22.4,-7.3%,29.5
Fees & Commissions,7.8,7.4,5.9%,9.8
Forex Income,1.5,1.4,9.9%,1.8
Other Income,0.8,1.1,-29.6%,1.2
Total Operating Income,30.9,32.3,-4.3%,42.3
Loan Loss Provision,2.6,1.9,31.7%,2.6
Staff Costs,7.2,6.7,8.3%,9.4
Other Operating Expenses,7.5,8.5,-12.3%,12.6
Profit Before Tax and Exceptional Items,13.6,15.1,-9.9%,17.6
Exceptional Items,-,-,-,0.004
Share of profit of associate,0.1,0.1,9.1%,0.1
Profit Before Tax,13.7,15.2,-9.8%,17.7
Tax,4.2,4.7,-10.3%,5.0
Profit After Tax,9.5,10.5,-9.5%,12.7
Basic Annualized EPS*,2.2,2.9,-24.6%,2.6
