–,–,"2,307,300","2,307,300"
"84,804,458",–,–,"84,804,458"
–,–,"313,755","313,755"
–,"6,347,857",–,"6,347,857"
"67,757,662",–,–,"67,757,662"
"15,198,350",–,–,"15,198,350"
–,"1,389,706",–,"1,389,706"
–,"8,287,532",–,"8,287,532"
–,"1,396,103",–,"1,396,103"
–,–,"2,307,300","2,307,300"
"83,381,239",–,–,"83,381,239"
–,–,"313,157","313,157"
–,"206,725",–,"206,725"
–,"6,217,201",–,"6,217,201"
"57,195,536",–,–,"57,195,536"
"8,538,307",–,–,"8,538,307"
–,"1,482,824",–,"1,482,824"
–,"1,625,699",–,"1,625,699"
