Column,Independent,"Directors in
Coop Holdings",Skills
"John Murugu, OGW,
Chairman (70)",,,"• Banking
• Public Finance
• Organizational Change and Development
• Business administration
• Management Information Systems
• Strategic Planning
• Public Secretarial
• Strategic Leadership
• Corporate & institutional Banking
• Mathematics
• Business Management
• Coffee Industry Management
• Human Resource Management
• Accountancy
• Education management
• Co-operative Management
• Tax
• Economics
• Foreign affairs
• Finance"
"Macloud Malonza, HSC,
Vice-Chairman (52)",,,
"Dr. Gideon Muriuki, (CBS,
MBS), Group Managing Direc-
tor & CEO (56)",,,
"Patrick K. Githendu, Director
(67)",,,
"Weda Welton (Mrs.), Director,
Independent (62)",,,
"Lawrence Karissa, Director,
Independent (65)",,,
"Julius Sitienei, Director (66)",,,
"Benedict W. Simiyu, Director
(59)",,,
"Richard L. Kimanthi, Director
(64)",,,
"Wanyambura Mwambia,
Principal Secretary - National
Treasury appointee (65)",,,
"Wilfred Ongoro (HSC), Direc-
tor (65)",,,
"Godfrey K. Mburia, Director
(64)",,,
"Margaret Karangatha, Direc-
tor, Independent (60)",,,
