Group,Column,Bank,Column
2021,2020,2021,2020
KShs’000,KShs’000,KShs’000,KShs’000
"4,729,793","5,733,829","4,723,343","5,726,757"
"17,299,109","136,146,833","17,236,783","136,075,265"
"31,976,677","32,112,967","31,976,677","32,112,967"
"3,213,783","20,823,786","2,510,111","20,505,351"
"44,788,785","44,486,802","39,032,187","37,912,344"
"34,102,001","2,696,113","33,826,269","2,454,351"
"37,234,598","30,254,016","36,429,803","28,896,502"
"173,323,349","50,598,060","171,438,639","49,025,870"
"346,668,095","322,852,406","337,173,812","312,709,407"
"(2,898,478)","(5,385,113)","(2,898,478)","(5,385,113)"
"343,769,617","317,467,293","334,275,334","307,324,294"
"112,871,143","95,381,953","111,912,134","90,049,063"
"55,764,831","63,509,821","55,033,855","62,740,280"
"31,858,999","21,089,654","26,398,383","19,869,917"
"141,086,540","137,285,216","138,749,308","134,471,456"
"5,086,582","5,585,762","5,080,132","5,578,691"
"346,668,095","322,852,406","337,173,812","312,709,407"
"(2,898,478)","(5,385,113)","(2,898,478)","(5,385,113)"
"343,769,617","317,467,293","334,275,334","307,324,294"
