31-Mar-23,Column,31-Mar-23,Column,31-Mar-23
KSHS.'000,,KSHS.'000,,KSHS.'000
(Un-audited),,(Un-audited),,(Un-audited)
,"40,406,912 8,976,011
20,868,011 4,942,575
471,201 82,641
- -",,"407,797 67,228
2,868,338 686,564
8,024 1,735
1,306 -",
"10,020,829",,"182,436",,"9,757,199"
"5,131,145",,"678,704",,"4,452,441"
"418,368",,"2,004",,"48,007"
-,,-,,-
"15,570,342","61,746,124 14,001,227","863,144","3,285,466 755,528","14,257,647"
,"14,409,155 3,275,431
428,934 5,894
1,383,093 347,266",,"572,774 111,762
2,748 183
22,769 6,522",
"3,945,813",,"168,388",,"3,774,888"
"90,581",,"9,876",,"80,705"
"761,399",,"4,696",,"752,008"
"4,797,794","16,221,183 3,628,590","182,960","598,291 118,467","4,607,601"
"10,772,549","45,524,941 10,372,637
7,516,297 2,589,534
12,563,042 2,777,342
4,717,290 766,774
1,444 1,496
931,861 273,337","680,184","2,687,174 637,061
85,148 10,312
107,983 25,759
43,394 6,719
-
71,648 1,280","9,650,045"
"3,389,850",,"35,550",,"3,354,300"
"2,497,700",,"36,560",,"2,091,900"
"1,103,458",,"36,595",,"1,001,179"
333,,-,,-
"107,649",,300,,"61,970"
"7,098,990","25,729,934 6,408,483","109,005","308,172 44,070","6,509,349"
"17,871,538","71,254,875 16,781,120","789,189","2,995,347 681,131","16,159,394"
