Kshs. Billions,Q1 2025,Q1 2024,YoY Change
Total Interest Income,22.21,19.41,14.4%
Total Interest Expenses,7.97,7.71,3.3%
Net Interest Income,14.24,11.70,21.7%
Fees and commissions on loans and advances,2.77,2.89,-4.4%
Other Fees and commissions,3.06,2.57,19.2%
Foreign exchange trading income,0.80,1.44,-44.5%
Other income,0.32,0.17,90.1%
Total Operating Income,21.18,18.78,12.8%
Loan loss provision,2.11,1.59,32.6%
Staff costs,4.92,4.46,10.2%
Other operating expenses,4.72,3.81,23.8%
Total Operating expenses,11.75,9.86,19.1%
Profit before tax and exceptional items,9.43,8.91,5.8%
Exceptional items-Share of profit of associate,0.19,0.10,93.6%
Profit Before Tax,9.63,9.01,6.8%
Income tax,2.70,2.43,10.9%
Profit After Tax,6.93,6.58,5.3%
