Column,Q2 2015,Q2 - 2014,FY 2014
Core Capital / Total Deposits (10.5%),16.1%,17.1%,17.0%
Core Capital / Total Risk weighted Assets (10.5%),13.8%,14.1%,14.6%
Total Capital / Total Risk Weighted Asset (14.5%),20.5%,20.0%,22.0%
Coverage (Loan loss prov+int in sus /Gross NPL) -IFRS,32.1%,39%,30%
Coverage(Loss loan+int in sus+gen prov)/Gross NPL- CBK,59.1%,64.8%,55%
Liquidity (20%),32.9%,33.1%,33.8%
NPL / Total Loans,3.8%,3.7%,4.1%
Loans to Deposits,84.3%,84.7%,84.7%
