GROUP,Column,KINGDOM BANK,Column,CO-OP BANK
30-Sep-24,"30-Jun-24 31-Mar-24 31-Dec-23 30-Sep-23
KSHS.'000 KSHS.'000 KSHS.'000 KSHS.'000
(Un-audited) (Un-audited) Audited (Un-audited)
11,107,688 12,814,412 10,372,273 11,784,611
26,808,722 21,052,994 22,120,397 19,065,799
- - - -
- - - -
106,628,629 102,966,050 90,352,052 90,248,471
- - - -
95,597,668 97,246,722 98,695,811 94,878,837
1,750,670 1,700,226 1,775,185 1,744,698
19,676,142 10,223,522 10,220,865 7,745,013
26,599,725 35,490,808 17,054,265 3,166,553
- - 654,776 531,701
375,629,469 378,101,298 374,227,421 378,075,406
- - - -
3,143,836 2,943,934 2,711,086 2,400,043
- - - -
- - - -
- - - -
11,075,323 10,821,079 11,127,243 10,712,414
31,778 31,931 32,083 32,236
5,739,802 5,940,920 5,964,704 6,079,570
6,541,482 6,388,527 6,338,746 6,907,190
- - - -
26,594,238 28,949,511 19,484,376 27,968,489",30-Sep-24,"30-Jun-24 31-Mar-24 31-Dec-23 30-Sep-23
KSHS.'000 KSHS.'000 KSHS.'000 KSHS.'000
(Un-audited) (Un-audited) Audited (Un-audited)
731,830 744,899 735,430 585,493
1,493,312 1,012,500 1,232,174 790,584
- - - -
- - - -
7,396,041 7,396,041 7,396,041 7,499,296
- - - -
12,394,736 13,555,823 13,563,745 14,018,727
- - - -
1,116,522 1,338,528 527,343 488,264
210,264 443,301 272,647 46,331
- - - 109
10,948,326 10,358,326 9,816,134 9,046,823
- - -
10,916 10,916 10,916 12,640
255,039 255,039 255,039 6,039
- - - -
- - - -
1,214,404 1,165,163 1,093,073 1,000,877
- - -
21,126 26,180 31,235 140,995
129,511 129,511 129,511 351,903
- - - -
1,605,713 1,367,676 1,657,110 1,744,722",30-Sep-24
KSHS.'000,,KSHS.'000,,KSHS.'000
(Un-audited),,(Un-audited),,(Un-audited)
"12,022,701",,"745,852",,"7,534,384"
"20,880,727",,"923,487",,"19,957,240"
-,,-,,-
-,,-,,-
"113,661,398",,"7,396,041",,"106,265,357"
-,,-,,-
"97,987,835",,"11,866,074",,"85,482,708"
"1,753,830",,-,,"1,737,510"
"24,184,404",,"3,037,101",,"17,444,444"
"35,180,392",,"74,583",,"35,150,744"
"196,729",,"103,969",,-
"381,342,330",,"12,167,132",,"365,728,150"
-,,-,,-
"3,175,898",,"10,916",,"706,444"
-,,"255,039",,"3,884,925"
-,,-,,-
-,,-,,-
"11,339,245",,"1,199,186",,"9,761,946"
"31,626",,-,,"31,626"
"5,418,479",,"40,151",,"1,976,235"
"6,673,864",,"129,511",,"6,584,195"
-,,-,,-
"36,931,917",,"1,366,791",,"35,842,331"
"750,781,375","716,925,172 714,671,934 671,131,286 661,341,031","39,315,833","37,527,740 37,803,903 36,720,398 35,732,803","698,088,238"
,"- - - -
507,391,376 481,757,119 451,642,048 432,836,446
4,801,688 17,449,729 4,457,255 15,291,326
1,835,811 2,383,124 23 2,422,022
- - - -
50,217,353 60,059,674 67,334,316 65,605,474
- - - -
286,586 2,561,139 - -
- - - -
- - - -
- - - -
25,262,727 24,748,425 34,018,543 37,065,445",,"1,068,829 1,268,187 2,282,595 1,284,686
17,437,699 14,941,927 12,296,313 11,895,380
- - - -
- - - -
- - - -
16,551,769 19,172,388 19,859,303 19,715,617
- - - -
36,556 185,873 185,873 -
- - - -
- - - -
- - - -
248,890 496,444 619,556 729,392",
-,,"1,068,829",,-
"513,978,597",,"20,332,222",,"488,339,115"
"9,166,149",,-,,"9,166,149"
"1,404,307",,-,,"1,449,241"
-,,-,,-
"58,017,243",,"15,792,414",,"41,232,164"
-,,-,,-
"279,176",,-,,"262,097"
-,,-,,-
-,,-,,-
-,,-,,-
"37,173,133",,"221,705",,"35,168,048"
"620,018,605","589,795,541 588,959,210 557,452,186 553,220,713","37,415,170","35,343,743 36,064,819 35,243,640 33,625,075","575,616,814"
,"5,867,180 5,867,180 5,867,180 5,867,181
1,911,925 1,911,925 1,911,925 1,911,925
1,375,901 1,392,042 1,624,156 1,549,437
124,854,487 119,459,891 111,887,778 115,878,239
75,645 30,364 53,490 66,328
(7,742,140) (10,727,896) (16,956,216) (17,564,965)
- 8,800,770 8,800,770 -
360,274 364,893 369,512 374,131",,"1,867,947 1,867,947 1,867,947 1,867,947
3,087,449 3,087,449 3,087,449 3,087,449
- - - -
(1,065,565) (1,168,748) (1,496,645) (1,367,851)
- - - -
(1,705,834) (2,047,564) (1,981,993) (1,479,817)
- - - -
- - - -",
"5,867,181",,"1,867,947",,"5,867,180"
"1,911,925",,"3,087,449",,"1,911,925"
"1,387,688",,-,,"1,448,823"
"132,165,453",,"(803,424)",,"120,475,325"
"36,737",,-,,-
"(9,893,197)",,"(2,251,309)",,"(7,587,485)"
-,,-,,-
"355,655",,-,,"355,655"
"131,831,442","126,703,272 127,099,170 113,558,596 108,082,276","1,900,663","2,183,997 1,739,084 1,476,758 2,107,728","122,471,424"
"(1,068,672)","426,359 (1,386,446) 120,504 38,042",-,- - -,-
"750,781,375","716,925,172 714,671,934 671,131,286 661,341,031","39,315,833","37,527,740 37,803,903 36,720,398 35,732,803","698,088,238"
30-Sep-24,"30-Jun-24 31-Mar-24 31-Dec-23 30-Sep-23
KSHS.'000 KSHS.'000 KSHS.'000 KSHS.'000
(Un-audited) (Un-audited) Audited (Un-audited)
25,635,618 12,446,509 44,853,706 31,847,524
12,600,279 6,231,005 23,132,315 16,778,382
1,564,270 736,436 1,080,048 726,394
- - - -",30-Sep-24,"30-Jun-24 31-Mar-24 31-Dec-23 30-Sep-23
KSHS.'000 KSHS.'000 KSHS.'000 KSHS.'000
(Un-audited) (Un-audited) Audited (Un-audited)
674,246 342,313 986,263 687,619
1,301,753 663,197 2,703,597 2,018,571
65,705 15,986 45,912 29,696
- - 2,599 -",30-Sep-24
KSHS.'000,,KSHS.'000,,KSHS.'000
(Un-audited),,(Un-audited),,(Un-audited)
"39,406,396",,"1,058,646",,"37,988,540"
"19,756,870",,"1,931,020",,"17,825,850"
"2,603,701",,"159,524",,"1,588,688"
-,,-,,-
"61,766,967","39,800,167 19,413,950 69,066,068 49,352,300","3,149,190","2,041,704 1,021,496 3,738,371 2,735,886","57,403,078"
,"13,573,177 6,386,834 18,228,414 13,378,840
357,051 300,885 1,246,586 580,722
2,012,398 1,025,496 4,360,186 2,568,074",,"839,761 368,187 905,937 616,225
22,189 21,270 21,021 7,718
57,776 4,243 18,607 14,329",
"21,420,921",,"1,169,265",,"20,230,647"
"457,628",,"21,835",,"435,793"
"3,013,973",,"111,868",,"2,902,105"
"24,892,522","15,942,627 7,713,215 23,835,187 16,527,636","1,302,968","919,726 393,700 945,565 638,272","23,568,545"
,"23,857,540 11,700,735 45,230,881 32,824,664
6,026,497 2,891,917 12,254,271 9,086,498
6,316,468 2,565,206 10,125,725 8,535,844
2,649,075 1,443,762 3,181,189 2,463,012
25,380 8,317 - 1,969
357,491 166,162 900,563 500,784",,"1,121,978 627,796 2,792,806 2,097,614
82,138 32,944 154,457 107,354
94,159 44,061 191,763 120,054
38,525 15,504 105,366 102,180
- - - -
39,053 4,540 15,498 3,574",
"36,874,445",,"1,846,222",,"33,834,533"
"9,081,036",,"154,873",,"8,926,163"
"8,833,508",,"147,289",,"7,347,751"
"3,727,714",,"50,778",,"3,182,598"
-,,-,,"85,645"
"638,698",,"52,127",,"424,626"
"22,280,956","15,374,911 7,075,364 26,461,749 20,588,107","405,067","253,875 97,049 467,084 333,162","19,966,784"
"59,155,401","39,232,451 18,776,099 71,692,630 53,412,771","2,251,289","1,375,853 724,845 3,259,890 2,430,776","53,801,317"
