"106,717,506","(10,671,751)",Column,"10,671,751",Column,Column
"730,213","(73,021)",,"73,021",,
"12,088,753","(1,208,875)",,"1,208,875",,
"212,178","(21,218)",,"21,218",,
"59,256","(5,926)",,"5,926",,
"434,187","(43,419)",,"43,419",,
"356,405","(35,641)",,"35,641",,
,"(12,059,851)",,"12,059,851",,
"107,120,279","10,712,028",,"(10,712,028)",,
"728,734","72,873",,"(72,873)",,
"11,842,765","1,184,277",,"(1,184,277)",,
"224,216","22,422",,"(22,422",,)
"3,992",399,,(399,,)
"424,927",,"42,493",,"(42,493",)
"301,801",,"30,180",,"(30,180",)
,"12,0","64,672","(12,0","64,672",)
,,"4,821",,"(4,821",)
,,0.02%,,(0.02%,)
,,"3,375",,"(3,375",)
,,0.00%,,(0.00%,)
