"32,492,671",-,"32,492,671","28,015,013",Column,Column,-,Column,Column,"28,015,013",Column,Column
"27,275,130",-,"27,275,130","21,729,052",,,-,,,"21,729,052",,
"28,914,078","161,908,971","190,823,049","27,414,078",,,"142,049,853",,,"169,463,931",,
"79,436,463","294,790,958","374,227,421","76,331,129",,,"284,056,257",,,"360,387,386",,
"654,776",-,"654,776","790,836",,,-,,,"790,836",,
-,"6,338,746","6,338,746",-,,,"6,163,371",,,"6,163,371",,
"650,637","20,229,842","20,880,479",-,,,"21,145,427",,,"21,145,427",,
-,-,-,-,,,"3,884,925",,,"3,884,925",,
-,"2,711,086","2,711,086",-,,,"706,444",,,"706,444",,
-,"32,083","32,083",-,,,"32,083",,,"32,083",,
-,"7,048,168","7,048,168",-,,,"5,732,438",,,"5,732,438",,
-,"4,079,075","4,079,075",-,,,"3,608,049",,,"3,608,049",,
-,"2,670,704","2,670,704",-,,,"2,595,668",,,"2,595,66",,8
-,"3,294,000","3,294,000",-,,,-,,,,,-
"169,423,755","503,103,633","672,527,388","154,280,108",,,"469,97",,"4,515",624,",254,62",3
"451,642,048",-,"451,642,048","432,548,298",,,,,-,432,",548,29",8
"4,457,278",-,"4,457,278","5,752,083",,,,,-,5,",752,08",3
"3,935","280,444","284,379",-,,,,27,"4,687",,"274,68",7
"9,021,217","24,712,944","33,734,161","8,837,354",,,,"21,79","9,820",30,",637,17",4
-,"369,513","369,513",,,-,,36,"9,513",,"369,51",3
"7,290,050","60,044,266","67,334,316","2,585,1",,35,,"44,50","0,872",47,",086,00",7
"1,396,103",-,"1,396,103","1,396,1",,03,,,-,1,",396,10",3
"473,810,631","85,407,167","559,217,798",45,"1,118,9",73,"66,94",,"4,892",518,",063,86",5
"(304,386,876)","417,696,466","113,309,590",(296,",838,865)",,"403,02",,"9,623",106,",190,75",8
