Kshs. Billions (except for EPS),Q12020,Q12019,% Change (Y/Y)
Interest Income,10.54,10.09,4.5%
Interest Expense,3.02,3.16,-4.4%
Net Interest Income,7.52,6.93,8.5%
Fees & Commissions,4.39,3.42,28.3%
Forex Income,0.50,0.64,-21.0%
Other Income,0.09,0.13,-29.1%
Total Operating Income,12.50,11.12,12.5%
Loan Loss Provision,0.90,0.50,79.5%
Staff Costs,3.48,2.78,25.0%
Other Operating Expenses,2.88,2.74,5.2%
Profit Before Tax and Exceptional Items,5.24,5.09,2.9%
Share of profit of associate,(0.12),0.02,-708.8%
Profit Before Tax,5.12,5.11,0.1%
Tax,1.53,1.51,1.0%
Profit After Tax,3.59,3.60,-0.3%
Basic Annualized EPS,2.45,2.45,-0.3%
