REAL GDP GROWTH,Column,Column,Column,Column,Column
,ACTUAL,,Projections,,
,2021,2022,"Oct. 2023
Projected","Difference
from July
2023",2024
World,6.3,3.5,3.0,0.0,2.9
Advanced Economies,5.4,2.6,1.5,0.0,1.4
United States,5.9,2.1,2.1,0.3,1.5
Japan,2.2,1.0,2.0,0.6,1
Euro area,5.3,3.3,0.7,-0.2,1.2
Germany,2.6,1.8,-0.5,-0.2,0.9
"Emerging Market and
Developing Economies",6.8,4.1,4.0,0.0,4
China,8.4,3.0,5.0,-0.2,4.2
India,9.1,7.2,6.3,0.2,6.3
Russia,5.6,-2.1,2.2,0.7,1.1
Sub-Saharan Africa,4.7,3.9,3.3,-0.2,4
South Africa,4.7,1.9,0.9,0.6,1.8
Nigeria,3.6,3.3,2.9,-0.3,3.1
Uganda,5.7,6.4,4.6,,5.7
South Sudan,5.3,0.5,3.5,,4.2
