Column,"Actual
FY 2017","Projections
FY 2018"
Profit Before Tax Growth,-7.3%,20%
Loans & Advances Growth,7.1%,14%
Deposits Growth,9.2%,15% - 20%
Cost to Income Ratio,52.2%,48%
Non Funded to Total Income,32.4%,35%
Return On Average Equity (ROAE),17.4%,20% - 22%
Return On Average Assets (ROAA),3.1%,3.5% - 3.7%
Non Performing Loans (NPL),7.0%,7%
Cost of average funds,4.1%,3.8%
Net Interest Margin (NIM),8.9%,9%
Cost of risk,1.5%,1.6%
