Kshs. Billions (except for EPS),Q12018,Q12017,% Change (Y/Y),FY2017
Interest Income,10.4,9.5,9.1%,40.4
Interest Expense,3.0,2.8,5.0%,12.3
Net Interest Income,7.4,6.7,10.8%,28.1
Fees & Commissions,2.6,2.6,-0.5%,9.8
Forex Income,0.8,0.6,34.4%,2.2
Other Income,0.2,0.3,-20.5%,1.4
Total Operating Income,10.9,10.1,8.4%,41.6
Loan Loss Provision,0.8,0.8,1.7%,3.6
Staff Costs,2.6,2.3,13.1%,10.1
Other Operating Expenses,2.7,2.5,8.2%,11.6
Profit Before Tax and Exceptional Items,4.8,4.5,7.3%,16.3
Share of profit of associate,0.1,0.0,514.2%,0.13
Profit Before Tax,4.9,4.5,8.6%,16.4
Tax,1.4,1.3,13.1%,4.99
Profit After Tax,3.4,3.2,6.8%,11.4
Basic Annualized EPS,2.35,2 . 2,6.8%,1.94
