Column,"318,611,032",Column,-,Column,-,"318,611,032","4,216,673",Column,Column,-,Column,Column,-,Column,4,",216,67",3
,-,,"39,520,675",,-,"39,520,675",-,,,"11,687,219",,,-,,11,",687,21",9
,-,,-,,"42,872,376","42,872,376",-,,,-,,"20,","499,458",,20,",499,45",8
,-,,-,,"27,303,582","27,303,582",-,,,-,,"11,","903,742",,11,",903,74",2
,-,,-,,"824,276","824,276",-,,,-,,,"780,139",,,"780,13",9
,"318,611,032",,"39,520,675",,"71,000,234","429,131,941","4,216,673",,,"11,687,219",,"33,","183,339",,49,",087,23",1
"308,623,637",,-,,-,,"308,623,637","8,255,938",,,,-,,,-,8,",255,93",8
-,,"48,644,582",,-,,"48,644,582",-,,,"9,","774,269",,,-,9,",774,26",9
-,,-,,"41,343,085",,"41,343,085",-,,,,-,15,",532,07",6,15,",532,07",6
-,,-,,"23,190,462",,"23,190,462",,,-,,-,7,",801,99",7,7,",801,99",7
-,,-,,"1,571,636",,"1,571,636",,,-,-,,1,",433,84",4,1,",433,84",4
"308,623,637",,"48,644,582",,"66,105,183",,"423,373,402","8,2","55,938",,"9,774,269",,24,",767,91",7,42,",798,12",4
