Kshs. Billions (Except for EPS),FY2020,FY2019,% Change (Y/Y)
Interest Income,48.8,43.6,11.9%
Interest Expense,12.5,12.3,1.3%
Net Interest Income,36.3,31.3,16.1%
Fees & Commissions,12.9,12.8,0.7%
Forex Income,2.8,2.1,32.1%
Other Income,1.7,2.2,-20.5%
Total Operating Income,53.8,48.5,11.1%
Loan Loss Provision,8.1,2.5,219.5%
Staff Costs,13.4,12.4,8.5%
Other Operating Expenses,17.9,12.9,38.7%
Profit Before Tax and Exceptional Items,14.4,20.7,-30.2%
Share of profit of associate,(0.15),0.04,-474.5%
Profit Before Tax,14.3,20.7,-31.0%
Tax,3.5,6.4,-45.8%
Profit After Tax,10.8,14.3,-24.4%
Basic Annualized EPS,1.8,2.4,-24.4%
