Stage 1,Stage 2,Stage 3,Total
KShs’000,KShs’000,KShs’000,KShs’000
"207,725,659","29,774,480","28,051,256","265,551,395"
"62,242,170","(2,404,235)","6,287,332","66,125,267"
"(38,439,087)","(6,887,437)","(2,922,285)","(48,248,809)"
"867,357","(731,491)","(135,866)",-
"(237,268)","574,695","(337,427)",-
"(469,043)","(154,206)","623,249",-
-,"6,434,522",-,"6,434,522"
-,-,"(72,741)","(72,741)"
"231,689,788","26,606,328","31,493,518","289,789,634"
