"5,009,850",Column,Column,Column,"209,978",Column,Column,Column,"2,205,517",Column,Column,Column
"(261,771)",,,,"(40,941)",,,,"(72,863)",,,
"2,748,079",,,,"169,037",,,,"2,132,654",,,
"(1,679,652)",,,,"(94,828)",,,,"(2,856,247)",,,
-,,,,-,,,,"734,656",,,
"1,068,427",,,,"74,209",,,,"11,063",,,
-,,,,-,,,,-,,,
"(471,987)",,,,"44,833",,,,"(182,172)",,,
"596,440",,,,"119,042",,,,,"(171,109",,)
"1,019,371",,,,"60,247",,,,,,"176,13",9
"1,019,371",,,,"60,247",,,,,,"176,13",9
"161,581",,,,"71,716",,,,,,"2,46",5
"4,272,077",,,,13,,,"8,990",,"1,","576,26",2
"(955,284)",,,,(41,,,",126)",,,"(45,415",)
"3,316,793",,,,,,9,"7,864",,"1,","530,84",7
"(2,236,106)",,,,,,(84,",673)",,"(1,2","39,551",)
-,,,,,,-,,,,,-
"1,080,687",,,,,,"13,191",,,,"291,29",6
,,,-,,-,,,,,,-
"(419,616",,,),,(11,,",388)",,,"(91,866",)
"661,07",,,1,,,,"1,803",,,"199,43",0
(9,,"96,073",),,,(4,",178)",,,,-
,(3,"35,002",),,,(2,",375)",,,"199,43",0
,,"66,10",7,,,,721,,,"97,72",1
,,,,,,,,,,2,
