BANK,Stage 1,Stage 2,Stage 3,Total
,12-month ECL,Lifetime ECL,Lifetime ECL,
,KShs‘000,KShs‘000,KShs‘000,KShs‘000
Other financial assets,,,,
Deposits and balance due from banks- at amortised cost:,,,,
- Gross carrying amount,"21,731,801",–,–,"21,731,801"
- ECL,"2,749",–,–,"2,749"
Net carrying amount as at 31 December 2023,"21,729,052",–,–,"21,729,052"
Government Securities:,,,,
- Gross carrying amount,"171,748,597",–,–,"171,748,597"
- ECL,"2,598,421",–,–,"2,598,421"
Net carrying amount as at 31 December 2023,"169,150,176",–,–,"169,150,176"
Deposits and balance due from banks- at amortised cost:,,,,
- Gross carrying amount,"6,839,160",–,–,"6,839,160"
- ECL,"2,297",–,–,"2,297"
Net carrying amount as at 31 December 2022,"6,836,863",–,–,"6,836,863"
Government Securities:,,,,
- Gross carrying amount,"153,028,872",–,–,"153,028,872"
- ECL,"2,430,966",–,–,"2,430,966"
Net carrying amount as at 31 December 2022,"150,597,906",–,–,"150,597,906"
