Notes,"2022
KShs‘000","2021
KShs‘000"
34,"61,746,123","55,648,145"
35,"(16,221,183)","(14,611,232)"
,"45,524,940","41,036,913"
36,"20,079,339","15,233,684"
36,"(341,229)","(133,557)"
,"19,738,110","15,100,127"
37,"4,717,291","2,849,297"
28,"18,476","18,476"
38,"1,256,058","1,428,455"
,"5,991,825","4,296,228"
,"71,254,875","60,433,268"
13(b),"(8,547,524)","(7,929,256)"
41,"(439,057)","(540,675)"
17(a),"(805,223)","(756,575)"
18,(609),(610)
19(a),"(1,220,009)","(1,486,349)"
20(i),"(1,165,304)","(1,268,050)"
39,"(14,782,536)","(13,324,217)"
40,"(15,283,532)","(12,784,252)"
,"(42,243,794)","(38,089,984)"
,"29,011,081","22,343,284"
16,"416,141","305,579"
,"29,427,222","22,648,863"
25(a),"(7,389,055)","(6,104,960)"
,"22,038,167","16,543,903"
,"21,829,894","16,729,008"
,"208,273","(185,105)"
,"22,038,167","16,543,903"
42,3.72,2.85
42,3.72,2.85
