Column,Column,Column,Column,Column,"46,026,141","4,445,956","156,991,761","221,890",Column,"286,634,192","63,718,146","98,977,093","16,915,263","Carrying
KShs’000
amount",2020
2.41%,"1,939,192",18.06%,"2,585,589","(2,076,857)","(460,261)","(44,459)","(1,569,918)","(2,219)","4,662,447","2,866,342","637,181","989,771","169,153","1%
increase",
(2.41%),"(1,939,192)",(18.06%),"(2,585,589)","2,076,857","460,261","44,459","1,569,918","2,219","(4,662,447)","(2,866,342)","(637,181)","(989,771)","(169,153)","1%
decrease",
,,,,,"26,424,266","5,009,040","136,069,714","176,975",,"266,712,696","41,310,900","77,845,496","9,709,748","Carrying
KShs’000
amount",2019
1.98%,"1,595,291",11%,"2,278,988","(1,676,800)","(264,243)","(50,090)","(1,360,697)","(1,770)","3,955,788","2,667,127","413,109","778,455","97,097","1%
increase",
(1.98%),"(1,595,291)",(11%),"(2,278,988)","1,676,800","264,243","50,090","1,360,697","1,770","(3,955,788)","(2,667,127)","(413,109)","(778,455)","(97,097)","1%
decrease",
