Kes. Billions,Q1-2015,Q1-2014,"% Change (Year
on Year)",FY 2014
Total Assets,309.6,247.3,25%,285.4
Loan book (NET),184.1,154.6,19%,179.5
Government securities,44.9,37.7,19%,40.7
Total Deposits,238,191.6,24%,220.9
Number of Customers ( Millions),5.3,4.4,21%,5.1
Shareholders Funds,47.2,40.2,17.2%,43.3
