Group,Column,Bank,Column
2022,2021,2022,2021
KShs‘000,KShs‘000,KShs‘000,KShs‘000
"8,296,906","7,221,238","7,880,725","6,824,650"
-,-,-,-
-,-,-,-
"(907,851)","(1,116,278)","(644,606)","(1,097,586)"
"7,389,055","6,104,960","7,236,119","5,727,064"
"903,763","(666,502)","907,798","(697,799)"
-,-,"1,483",-
"8,296,906","7,221,238","7,880,725","6,824,650"
"(9,531,523)","(5,650,973)","(9,116,223)","(5,219,053)"
"(330,854)","903,763","(326,217)","907,798"
"29,427,223","22,648,863","26,871,740","21,325,327"
"8,828,167","6,794,659","8,061,522","6,397,598"
-,-,"(1,483)",-
"124,842","91,674",-,-
"1,293","(42,876)",-,-
"(1,565,247)","(738,497)","(823,920)","(670,534)"
"7,389,055","6,104,960","7,236,119","5,727,064"
