"9,004,175","32,821,863",Column,"27,240,030",Column,Column,69,",066,06",8
"(9,330,642)","(8,273,594)",,"(6,240,670)",,,"(23,","844,90",6)
"(326,467)","24,548,269",,"20,999,360",,,45,",221,16",2
"5,239,411","16,456,235",,"4,766,102",,,26,",461,74",8
"4,912,944","41,004,504",,"25,7",,"65,462",71,",682,91",0
"(23,993)","(702,416)",,"(2,0",,"51,011)",(2,",777,42",0)
"(58,053)","(114,448)",,,(8,"06,232)",(,"978,73",3)
"(854,262)","(6,541,882)",,,"(28,5","12,490)","(35,","908,63",4)
-,-,,,3,"45,725",,"345,72",5
"3,976,636","33,645,758",,,"(5,258,546)",,32,",363,84",8
-,,-,"(9,175,483)",,,"(9,","175,48",3)
"3,976,636","33,64","5,758","(14,43",,"4,029)",23,",188,36",5
,,,,,,,1,
